#,P:nPeriodBreak,P:nATRExit,净利润,年化收益,盈利比率,平均利润,交易手数,最大资产回撤,TB系数,增长系数,收益风险比,R平方值,头寸系数,资产回撤计数,平均资产回撤,调整收益风险比,单日最大资产回撤比率%,最大资产回撤比率%,夏普比率,盈亏比,总盈利,总亏损,盈利手数,亏损手数,连续盈利手数,连续亏损手数,最大盈利,最大亏损,平均盈利,平均亏损,平均盈利周期,平均亏损周期,盈利因子
5308,21,6.3,4004810.00,466567.40,41.71,21416.10,187,-1577200.00,68.59,5.4105,0.30,0.7663,5.21,5,-1068312.00,0.44,1.48,3.14,0.3279,4.47,5828810.00,-1824000.00,78,109,44,82,2463230.00,-538270.00,74728.33,-16733.94,180,61,3.20
5309,45,5.7,4004750.00,466560.41,55.34,19440.53,206,-1502040.00,64.03,4.2399,0.31,0.7643,6.01,5,-1142034.00,0.41,1.53,2.89,0.3872,2.35,6096450.00,-2091700.00,114,92,54,23,3136590.00,-437200.00,53477.63,-22735.87,133,37,2.91
5310,67,4.1,3999710.00,465973.24,45.26,10839.32,369,-1436960.00,76.64,4.2172,0.32,0.7091,6.07,5,-1199774.00,0.39,1.42,2.87,0.2433,2.93,6804250.00,-2804540.00,167,202,96,129,1877820.00,-593280.00,40744.01,-13883.86,86,26,2.43
5311,34,5.6,3998470.00,465828.77,48.32,16800.29,238,-1486430.00,67.34,4.2723,0.31,0.7190,5.68,5,-1070394.00,0.44,1.61,2.94,0.3375,2.97,6254530.00,-2256060.00,115,123,51,46,3136590.00,-477450.00,54387.22,-18341.95,142,30,2.77
5312,63,5,3997510.00,465716.93,42.15,15316.13,261,-1679220.00,41.77,4.4663,0.28,0.7301,4.61,5,-1214130.00,0.38,1.06,3.26,0.3612,3.02,7322670.00,-3325160.00,110,151,35,78,3578740.00,-578400.00,66569.73,-22020.93,114,38,2.20
5313,78,8.3,3994770.00,465397.72,64.77,45395.11,88,-1008480.00,98.39,5.2581,0.46,0.8676,12.67,5,-892440.00,0.52,1.60,1.97,0.4626,3.67,4689310.00,-694540.00,57,31,42,16,2509920.00,-461100.00,82268.60,-22404.52,229,71,6.75
5314,78,8.4,3994770.00,465397.72,64.77,45395.11,88,-1008480.00,98.39,5.2581,0.46,0.8676,12.67,5,-892440.00,0.52,1.60,1.97,0.4626,3.67,4689310.00,-694540.00,57,31,42,16,2509920.00,-461100.00,82268.60,-22404.52,229,71,6.75
5315,68,4,3994390.00,465353.45,45.60,10651.71,375,-1441850.00,76.29,4.1831,0.32,0.7055,5.99,5,-1185068.00,0.39,1.42,2.88,0.2398,2.87,6839090.00,-2844700.00,171,204,98,130,1877820.00,-593280.00,39994.68,-13944.61,83,26,2.40
5316,52,5.9,3994030.00,465311.51,55.88,19578.58,204,-1610130.00,61.13,4.1165,0.29,0.7552,5.17,5,-1044406.00,0.45,1.47,3.10,0.3896,2.26,6133680.00,-2139650.00,114,90,55,22,3136590.00,-437200.00,53804.21,-23773.89,134,37,2.87
5317,53,5.9,3994030.00,465311.51,55.88,19578.58,204,-1610130.00,61.13,4.1165,0.29,0.7552,5.17,5,-1044406.00,0.45,1.47,3.10,0.3896,2.26,6133680.00,-2139650.00,114,90,55,22,3136590.00,-437200.00,53804.21,-23773.89,134,37,2.87
5318,45,5.4,3993990.00,465306.85,51.93,17141.59,233,-1468330.00,52.82,4.4061,0.32,0.7789,6.47,5,-1179754.00,0.39,0.98,2.83,0.4100,2.32,6639440.00,-2645450.00,121,112,33,24,3136590.00,-480920.00,54871.40,-23620.09,127,32,2.51
5319,2,7.2,3992200.00,465098.31,48.48,120975.76,33,-845350.00,67.31,7.3612,0.55,0.9331,15.24,5,-543378.00,0.86,0.70,1.68,0.6442,10.70,4432500.00,-440300.00,16,17,16,17,2367950.00,-440300.00,277031.25,-25900.00,914,30,10.07
5320,69,4.1,3991190.00,464980.64,45.38,10845.63,368,-1352780.00,77.94,4.0917,0.34,0.7013,6.77,5,-1160298.00,0.40,1.42,2.70,0.2440,2.94,6752080.00,-2760890.00,167,201,96,128,1877820.00,-549630.00,40431.62,-13735.77,84,26,2.45
5321,70,4.1,3991190.00,464980.64,45.38,10845.63,368,-1352780.00,77.94,4.0917,0.34,0.7013,6.77,5,-1160298.00,0.40,1.42,2.70,0.2440,2.94,6752080.00,-2760890.00,167,201,96,128,1877820.00,-549630.00,40431.62,-13735.77,84,26,2.45
5322,20,6.8,3990850.00,464941.03,48.78,32445.93,123,-1093900.00,112.64,5.6661,0.43,0.8762,11.89,5,-907446.00,0.51,1.40,2.14,0.4063,5.76,4881110.00,-890260.00,60,63,42,52,2111340.00,-481610.00,81351.83,-14131.11,226,81,5.48
5323,36,5.1,3990250.00,464871.13,44.44,13855.03,288,-1758490.00,47.29,4.2564,0.26,0.6896,4.07,5,-1237934.00,0.38,0.99,3.39,0.3574,2.77,7279390.00,-3289140.00,128,160,35,51,3485100.00,-572130.00,56870.23,-20557.13,127,27,2.21
5324,62,5,3989360.00,464767.44,42.31,15343.69,260,-1679220.00,41.38,4.4558,0.28,0.7293,4.59,5,-1214130.00,0.38,1.06,3.26,0.3606,3.00,7322670.00,-3333310.00,110,150,35,78,3578740.00,-578400.00,66569.73,-22222.07,114,38,2.20
5325,22,6.8,3989030.00,464729.00,49.19,32169.60,124,-1121060.00,113.53,5.6720,0.41,0.8707,11.04,5,-920666.00,0.50,1.40,2.24,0.4041,5.66,4879290.00,-890260.00,61,63,43,52,2126160.00,-481610.00,79988.36,-14131.11,221,81,5.48
5326,89,7.8,3987610.00,464563.57,54.21,37267.38,107,-1131390.00,78.45,4.9233,0.41,0.7682,9.06,5,-874214.00,0.53,0.70,2.25,0.4903,4.01,5053080.00,-1065470.00,58,49,42,33,2831780.00,-545600.00,87122.07,-21744.29,202,52,4.74
5327,90,7.8,3987610.00,464563.57,54.21,37267.38,107,-1131390.00,78.45,4.9233,0.41,0.7682,9.06,5,-874214.00,0.53,0.70,2.25,0.4903,4.01,5053080.00,-1065470.00,58,49,42,33,2831780.00,-545600.00,87122.07,-21744.29,202,52,4.74
5328,67,4.4,3987470.00,464547.26,40.24,11797.25,338,-1538560.00,47.55,5.3686,0.30,0.7585,5.83,5,-1277102.00,0.36,1.19,2.98,0.3125,3.14,7575270.00,-3587800.00,136,202,36,118,1743690.00,-581400.00,55700.51,-17761.39,101,27,2.11
5329,64,5,3987320.00,464529.78,41.98,15218.78,262,-1679220.00,41.54,4.4567,0.28,0.7293,4.59,5,-1214130.00,0.38,1.06,3.26,0.3603,3.03,7322670.00,-3335350.00,110,152,35,78,3578740.00,-578400.00,66569.73,-21943.09,114,37,2.20
