#,P:nPeriodBreak,P:nATRExit,净利润,年化收益,盈利比率,平均利润,交易手数,最大资产回撤,TB系数,增长系数,收益风险比,R平方值,头寸系数,资产回撤计数,平均资产回撤,调整收益风险比,单日最大资产回撤比率%,最大资产回撤比率%,夏普比率,盈亏比,总盈利,总亏损,盈利手数,亏损手数,连续盈利手数,连续亏损手数,最大盈利,最大亏损,平均盈利,平均亏损,平均盈利周期,平均亏损周期,盈利因子
3564,20,1.2,52280.00,4180.11,37.98,251.35,208,-49700.00,2.93,0.0338,0.08,0.0265,2.09,5,-18308.00,0.23,0.01,0.10,0.2720,2.08,241570.00,-189290.00,79,129,4,15,23490.00,-6430.00,3057.85,-1467.36,14,5,1.28
3565,61,3.7,52280.00,4180.11,41.67,1089.17,48,-56630.00,2.10,0.2062,0.07,0.8476,47.32,5,-18386.00,0.23,0.01,0.11,0.3377,2.13,152020.00,-99740.00,20,28,3,4,28790.00,-16470.00,7601.00,-3562.14,68,30,1.52
3566,26,1.3,52250.00,4177.71,37.87,309.17,169,-25180.00,3.31,0.0997,0.17,0.2636,80.27,5,-15362.00,0.27,0.01,0.05,0.3121,2.19,208980.00,-156730.00,64,105,4,12,23490.00,-9350.00,3265.31,-1492.67,17,5,1.33
3567,41,2,52160.00,4170.51,43.14,511.37,102,-35860.00,2.97,0.1565,0.12,0.4392,64.28,5,-19784.00,0.21,0.01,0.07,0.1860,1.86,179700.00,-127540.00,44,58,4,7,16090.00,-13930.00,4084.09,-2198.97,27,11,1.41
3568,46,2.4,52150.00,4169.72,34.48,599.43,87,-29000.00,2.56,0.1721,0.14,0.5932,131.41,5,-21288.00,0.20,0.01,0.06,0.2163,2.72,173000.00,-120850.00,30,57,4,8,16490.00,-8650.00,5766.67,-2120.18,34,14,1.43
3569,45,2.6,52130.00,4168.12,38.27,643.58,81,-29560.00,2.55,0.1627,0.14,0.6456,136.98,5,-21020.00,0.20,0.01,0.06,0.2424,2.32,171350.00,-119220.00,31,50,3,7,17690.00,-8710.00,5527.42,-2384.40,40,15,1.44
3570,61,1.3,52120.00,4167.32,38.71,420.32,124,-32400.00,4.58,0.1602,0.13,0.5550,100.38,5,-16708.00,0.25,0.01,0.06,0.3438,2.34,160640.00,-108520.00,48,76,4,9,23490.00,-10590.00,3346.67,-1427.89,16,6,1.48
3571,55,4.9,52080.00,4164.12,41.18,1531.76,34,-63090.00,1.32,0.1501,0.07,0.4280,18.58,5,-17572.00,0.24,0.01,0.13,0.4076,2.13,158500.00,-106420.00,14,20,3,7,37290.00,-19610.00,11321.43,-5321.00,142,29,1.49
3572,58,2.3,52040.00,4160.92,41.25,650.50,80,-29000.00,3.45,0.1315,0.14,0.4371,96.13,5,-20288.00,0.21,0.01,0.06,0.2741,2.16,152170.00,-100130.00,33,47,4,12,16490.00,-8650.00,4611.21,-2130.43,30,13,1.52
3573,56,4.9,51940.00,4152.92,41.18,1527.65,34,-63090.00,1.32,0.1495,0.07,0.4257,18.43,5,-17572.00,0.24,0.01,0.13,0.4070,2.13,158360.00,-106420.00,14,20,3,7,37290.00,-19610.00,11311.43,-5321.00,142,29,1.49
3574,66,3.7,51920.00,4151.33,43.48,1128.70,46,-56630.00,2.17,0.2017,0.07,0.8666,47.87,5,-18386.00,0.23,0.01,0.11,0.3299,2.01,147240.00,-95320.00,20,26,3,4,28790.00,-16470.00,7362.00,-3666.15,69,27,1.54
3575,46,7,51910.00,4150.53,42.86,2471.90,21,-75410.00,1.21,0.1898,0.06,0.4424,12.65,5,-19762.00,0.21,0.01,0.15,0.4160,2.16,136030.00,-84120.00,9,12,1,3,61370.00,-22270.00,15114.44,-7010.00,243,60,1.62
3576,64,1.2,51860.00,4146.53,39.84,405.16,128,-21040.00,4.89,0.1670,0.20,0.6861,293.19,5,-15546.00,0.27,0.01,0.04,0.3933,2.24,158410.00,-106550.00,51,77,6,8,23490.00,-4910.00,3106.08,-1383.77,14,5,1.49
3577,14,1.9,51800.00,4141.73,42.50,323.75,160,-60660.00,2.32,0.0984,0.07,0.3427,17.78,5,-22546.00,0.18,0.01,0.12,0.2592,1.72,240260.00,-188460.00,68,92,5,7,16090.00,-8410.00,3533.24,-2048.48,26,9,1.27
