
20181203  AL | nATRExit: 4.5 | nPeriodBreak: 70 | nATR: 15

20090218  AL ：开多 | Bar序号：1
20160308  MA ：平空开多 | Bar序号：1046

20160328  MA ：平多开空 | Bar序号：1060

20160414  MA ：平空开多 | Bar序号：1072

20160505  MA ：平多开空 | Bar序号：1086

20160530  MA ：平空 | Bar序号：1101

20160531  MA ：开多 | Bar序号：1102

20160615  MA ：平多开空 | Bar序号：1111

20160629  MA ：平空开多 | Bar序号：1121

20160707  MA ：平多开空 | Bar序号：1127

20160802  MA ：平空开多 | Bar序号：1145

20160823  MA ：平多开空 | Bar序号：1160

20160906  MA ：平空开多 | Bar序号：1170

20161024  MA ：平多 | Bar序号：1197

20161026  MA ：开多 | Bar序号：1199

20161115  MA ：平多开空 | Bar序号：1213

20161122  MA ：平空开多 | Bar序号：1218

20161221  MA ：平多开空 | Bar序号：1239

20170113  MA ：平空开多 | Bar序号：1255

20170222  MA ：平多开空 | Bar序号：1278

20170330  MA ：平空开多 | Bar序号：1304

20170413  MA ：平多开空 | Bar序号：1312

20170517  MA ：平空开多 | Bar序号：1335

20170601  MA ：平多开空 | Bar序号：1344

20170613  MA ：平空 | Bar序号：1352

20170614  MA ：开空 | Bar序号：1353

20170704  MA ：平空开多 | Bar序号：1367

20170724  MA ：平多 | Bar序号：1381

20170725  MA ：开空 | Bar序号：1382

20170808  MA ：平空 | Bar序号：1392

20170809  MA ：开多 | Bar序号：1393

20170908  MA ：平多 | Bar序号：1415

20170911  MA ：开空 | Bar序号：1416

20171017  MA ：平空 | Bar序号：1436

20171018  MA ：开多 | Bar序号：1437

20171128  MA ：平多开空 | Bar序号：1466

20171201  MA ：平空 | Bar序号：1469

20171205  MA ：开多 | Bar序号：1471

20180117  MA ：平多开空 | Bar序号：1501

20180227  MA ：平空开空 | Bar序号：1525

20180315  MA ：平空开多 | Bar序号：1537

20180326  MA ：平多 | Bar序号：1544

20180327  MA ：开空 | Bar序号：1545

20180413  MA ：平空开多 | Bar序号：1556

20180522  MA ：平多 | Bar序号：1581

20180523  MA ：开空 | Bar序号：1582

20180608  MA ：平空开多 | Bar序号：1594

