
20170928  黄金1712 | nATRExit: 2.3 | FastLength: 10 | SlowLength: 15 | nATR: 15

20121221  豆粕1801 ：平多 | Bar序号：966

20121231  豆粕1801 ：开空 | Bar序号：972

20130117  豆粕1801 ：平空 | Bar序号：982

20130121  豆粕1801 ：开多 | Bar序号：984

20130227  豆粕1801 ：平多 | Bar序号：1006

20130228  豆粕1801 ：开空 | Bar序号：1007

20130509  豆粕1801 ：平空 | Bar序号：1052

20130625  豆粕1801 ：开空 | Bar序号：1082

20130710  豆粕1801 ：平空 | Bar序号：1093

20130711  豆粕1801 ：开多 | Bar序号：1094

20130729  豆粕1801 ：平多 | Bar序号：1106

20130731  豆粕1801 ：开空 | Bar序号：1108

20130814  豆粕1801 ：平空 | Bar序号：1118

20130816  豆粕1801 ：开多 | Bar序号：1120

20140108  豆粕1801 ：平多 | Bar序号：1215

20140122  豆粕1801 ：开多 | Bar序号：1225

20140318  豆粕1801 ：平多 | Bar序号：1259

20140327  豆粕1801 ：开多 | Bar序号：1266

20140606  豆粕1801 ：平多 | Bar序号：1313

20140612  豆粕1801 ：开空 | Bar序号：1317

20140729  豆粕1801 ：平空 | Bar序号：1349

20140805  豆粕1801 ：开多 | Bar序号：1354

20140815  豆粕1801 ：平多 | Bar序号：1362

20140819  豆粕1801 ：开空 | Bar序号：1364

20141020  豆粕1801 ：平空 | Bar序号：1402

20141021  豆粕1801 ：开多 | Bar序号：1403

20141106  豆粕1801 ：平多 | Bar序号：1415

20141117  豆粕1801 ：开空 | Bar序号：1422

20141211  豆粕1801 ：平空开多 | Bar序号：1440

20141225  豆粕1801 ：平多 | Bar序号：1450

20141226  豆粕1801 ：开空 | Bar序号：1451

20150225  豆粕1801 ：平空 | Bar序号：1487

20150317  豆粕1801 ：开空 | Bar序号：1501

20150504  豆粕1801 ：平空 | Bar序号：1533

20150514  豆粕1801 ：开空 | Bar序号：1541

20150624  豆粕1801 ：平空 | Bar序号：1569

20150701  豆粕1801 ：开多 | Bar序号：1574

20150820  豆粕1801 ：平多 | Bar序号：1609

20150826  豆粕1801 ：开空 | Bar序号：1612

20151127  豆粕1801 ：平空 | Bar序号：1672

20151208  豆粕1801 ：开多 | Bar序号：1679

20160225  豆粕1801 ：平多 | Bar序号：1730

20160317  豆粕1801 ：开多 | Bar序号：1745

20160708  豆粕1801 ：平多 | Bar序号：1820

20160714  豆粕1801 ：开空 | Bar序号：1824

20160922  豆粕1801 ：平空 | Bar序号：1872

20160929  豆粕1801 ：开空 | Bar序号：1877

20161027  豆粕1801 ：平空 | Bar序号：1892

20161028  豆粕1801 ：开多 | Bar序号：1893

20161103  豆粕1801 ：平多 | Bar序号：1897

20161111  豆粕1801 ：开空 | Bar序号：1903

20161123  豆粕1801 ：平空 | Bar序号：1911

20161213  豆粕1801 ：开空 | Bar序号：1925

20170117  豆粕1801 ：平空开多 | Bar序号：1949

20170224  豆粕1801 ：平多 | Bar序号：1972

20170227  豆粕1801 ：开空 | Bar序号：1973

20170414  豆粕1801 ：平空 | Bar序号：2005

20170420  豆粕1801 ：开多 | Bar序号：2009

20170517  豆粕1801 ：平多开空 | Bar序号：2027

20170620  豆粕1801 ：平空开多 | Bar序号：2049

20170717  豆粕1801 ：平多 | Bar序号：2068

20170726  豆粕1801 ：开空 | Bar序号：2075

20170925  豆粕1801 ：平空 | Bar序号：2118
