
20170921  沪铝1711 | nATRExit: 3.8 | nPeriodBreak: 17 | nATR: 15

20090218  沪铝1711 ：开多 | Bar序号：1
20120910  焦炭1801 ：平空 | Bar序号：336

20060209  棉花1801 ：平多 | Bar序号：8

20121018  焦炭1801 ：开多 | Bar序号：359

20121024  焦炭1801 ：平多 | Bar序号：363

20060220  棉花1801 ：开空 | Bar序号：15

20121130  焦炭1801 ：开空 | Bar序号：390

20060418  棉花1801 ：平空开多 | Bar序号：56

20121206  焦炭1801 ：平空 | Bar序号：394

20121218  焦炭1801 ：开多 | Bar序号：402

20130114  焦炭1801 ：平多 | Bar序号：418

20060427  棉花1801 ：平多开空 | Bar序号：63

20130121  焦炭1801 ：开多 | Bar序号：423

20130219  焦炭1801 ：平多 | Bar序号：439
28

20060816  棉花1801 ：平多开空 | Bar序号：137

20130305  焦炭1801 ：开空 | Bar序号：449

20061024  棉花1801 ：平空 | Bar序号：181

20130513  焦炭1801 ：平空 | Bar序号：493

20061027  棉花1801 ：开多 | Bar序号：184

20130603  焦炭1801 ：开空 | Bar序号：508

20061120  棉花1801 ：平多开空 | Bar序号：200

20130722  焦炭1801 ：平空 | Bar序号：540

20061123  棉花1801 ：平空 | Bar序号：203

20130813  焦炭1801 ：开多 | Bar序号：556

20061124  棉花1801 ：开多 | Bar序号：204

20130829  焦炭1801 ：平多 | Bar序号：568

20070115  棉花1801 ：平多开空 | Bar序号：237

20131025  焦炭1801 ：开空 | Bar序号：602

20070308  棉花1801 ：平空 | Bar序号：270

20131120  焦炭1801 ：平空 | Bar序号：620

20070319  棉花1801 ：开空 | Bar序号：277

20131216  焦炭1801 ：开空 | Bar序号：638

20070404  棉花1801 ：平空 | Bar序号：289

20070413  棉花1801 ：开空 | Bar序号：296

20140404  焦炭1801 ：平空 | Bar序号：711

20070518  棉花1801 ：平空 | Bar序号：316

20140505  焦炭1801 ：开空 | Bar序号：729

20070531  棉花1801 ：开多 | Bar序号：325

20140527  焦炭1801 ：平空 | Bar序号：745

20070719  棉花1801 ：平多 | Bar序号：360

20140613  焦炭1801 ：开空 | Bar序号：757

20070730  棉花1801 ：开空 | Bar序号：367

20140827  焦炭1801 ：平空 | Bar序号：809

20070912  棉花1801 ：平空 | Bar序号：399

20140909  焦炭1801 ：开空 | Bar序号：817

20070914  棉花1801 ：开多 | Bar序号：401

20141010  焦炭1801 ：平空 | Bar序号：835

20070921  棉花1801 ：平多 | Bar序号：406

20141119  焦炭1801 ：开空 | Bar序号：863

