2018/1/10,AL1803,(换合约),NaN
,,,
2018/1/17,CF1805,平多,NaN
2018/1/17,P1805,平多,NaN
2018/1/17,P1805,开空,13
2018/1/17,CU1803,平多,NaN
2018/1/17,CU1803,开空,2
,,,
2018/1/18,CF1805,开多,15
,,,
2018/1/19,IF1801,(换合约),NaN
2018/1/19,IF1802,(换合约),NaN
,,,
2018/1/19,RB1805,平空,NaN
2018/1/19,RB1805,开多,19
2018/1/19,Y1805,平多,NaN
2018/1/19,Y1805,开空,17
2018/1/19,AU1806,平多,NaN
,,,
2018/1/23,RU1805,平多,NaN
2018/1/23,RU1805,开空,5
,,,
2018/1/25,J1805,平空,NaN
,,,
2018/1/26,AU1806,开空,7
,,,
2018/1/29,Y1805,平空,NaN
2018/1/29,Y1805,开多,20
2018/1/29,M1805,平空,NaN
,,,
2018/1/30,IF1802,平多,NaN
,,,
2018/2/1,CF1805,平多,NaN
2018/2/1,Y1805,平多,NaN
,,,
2018/2/2,L1805,平多,NaN
2018/2/2,L1805,开空,13
2018/2/2,Y1805,开空,17
,,,
2018/2/8,CU1803,(换合约),NaN
2018/2/8,CU1804,(换合约),NaN
,,,
2018/2/9,TA1805,平多,NaN
2018/2/9,ZN1803,平多,NaN
2018/2/9,ZN1803,开空,3
,,,
2018/2/12,ZN1803,(换合约),NaN
2018/2/12,ZN1804,(换合约),NaN
,,,
2018/2/13,AL1803,(换合约),NaN
2018/2/13,AL1804,(换合约),NaN
,,,
2018/2/13,IF1802,(换合约),NaN
2018/2/13,IF1803,(换合约),NaN
,,,
2018/2/26,TA1805,开多,34
2018/2/26,CF1805,平空,NaN
2018/2/26,CF1805,开多,18
,,,
2018/3/6,ZN1804,(换合约),NaN
2018/3/6,ZN1805,(换合约),NaN
,,,
2018/3/6,AL1804,(换合约),NaN
2018/3/6,AL1805,(换合约),NaN
,,,
2018/3/6,CU1804,(换合约),NaN
2018/3/6,CU1805,(换合约),NaN
,,,
2018/3/6,J1805,平多,NaN
,,,
2018/3/7,TA1805,平多,NaN
2018/3/7,RB1805,平多,NaN
,,,
2018/3/7,TA1805,平多,NaN
2018/3/7,RB1805,平多,NaN
,,,
2018/3/8,CF1805,平多,NaN
